colonia,municipio,zona,costo_envio_mxn,confianza
__PICKUP_TIENDA__,Querétaro,0,0,pickup_no_es_envio
2 de Abril,Querétaro,3,89,estimado
8 de Diciembre,Querétaro,3,89,estimado
Alameda,Querétaro,3,89,estimado
Álamos 1a Sección,Querétaro,4,109,estimado
Álamos 2a Sección,Querétaro,4,109,estimado
Álamos 3a Sección,Querétaro,4,109,estimado
Altavista Juriquilla,Querétaro,6,149,estimado
Altos de San Pablo,Querétaro,5,129,estimado
Altos del Cimatario,Querétaro,1,49,estimado
Altos del Salitre,Querétaro,5,129,estimado
Altos Juriquilla,Querétaro,6,149,estimado
Altozano,Querétaro,5,129,estimado
Ampliación El Refugio,Querétaro,5,129,estimado
Ampliación Satélite,Querétaro,4,109,estimado
Andalucía,Querétaro,3,89,estimado
Aragón,Querétaro,3,89,estimado
Arboledas (76140),Querétaro,4,109,estimado
Arboledas del Parque,Querétaro,4,109,estimado
Arte Mexicano,Querétaro,1,49,estimado
Atenas,Querétaro,6,149,estimado
Aura Juriquilla,Querétaro,6,149,estimado
Azteca,Querétaro,1,49,estimado
Balaustradas,Querétaro,3,89,estimado
Balcones Coloniales,Querétaro,4,109,estimado
Balcones de Juriquilla,Querétaro,6,149,estimado
Balcones de San Pablo,Querétaro,5,129,estimado
Balvanera,Corregidora,5,129,verificado
Barrio La Cruz,Querétaro,3,89,estimado
Bellavista,Querétaro,1,49,estimado
Bosques de las Lomas,Querétaro,1,49,estimado
Bosques de Querétaro,Querétaro,1,49,estimado
Bosques del Acueducto,Querétaro,2,69,estimado
Bosques del Cimatario,Querétaro,1,49,estimado
Bosques del Cimatario 2a Sección,Querétaro,1,49,estimado
Bugambilias,Querétaro,3,89,estimado
Calesa,Querétaro,2,69,estimado
Calesa 2a Sección,Querétaro,2,69,estimado
Campestre Huertas la Joya,Querétaro,6,149,estimado
Campestre Italiana,Querétaro,1,49,estimado
Candiles,Corregidora,5,129,ajustado_conservador
Carretas,Querétaro,3,89,estimado
Casa Blanca,Querétaro,1,49,verificado
Centro,Querétaro,1,49,verificado
Centro Histórico,Querétaro,1,49,verificado
Centro Sur,Querétaro,1,49,estimado
Cerrito Colorado,Querétaro,4,109,estimado
Cerrito Colorado II,Querétaro,4,109,estimado
Cerrito Colorado III,Querétaro,4,109,estimado
Cerrito Colorado IV,Querétaro,4,109,estimado
Cerrito Colorado V,Querétaro,4,109,estimado
Cerrito Colorado VI,Querétaro,4,109,estimado
Cerrito Colorado VII,Querétaro,4,109,estimado
Cerro Colorado,Querétaro,4,109,estimado
Che Guevara (Axayácatl),Querétaro,4,109,estimado
Cimatario,Querétaro,1,49,verificado
Cipreses,Querétaro,5,129,estimado
Claustro del Marqués,Querétaro,3,89,estimado
Claustros de la Catedral,Querétaro,3,89,estimado
Claustros de la Corregidora 2,Querétaro,3,89,estimado
Claustros de la Corregidora I,Querétaro,3,89,estimado
Claustros de las Misiones,Querétaro,3,89,estimado
Claustros de Santiago,Querétaro,3,89,estimado
Claustros del Campestre,Querétaro,3,89,estimado
Claustros del Sur,Querétaro,3,89,estimado
Club Campestre,Querétaro,3,89,estimado
Colinas de Juriquilla,Querétaro,6,149,estimado
Colinas de Menchaca,Querétaro,4,109,estimado
Colinas de Menchaca 2a Sección,Querétaro,4,109,estimado
Colinas de San Pablo,Querétaro,5,129,estimado
Colinas del Cimatario,Querétaro,1,49,estimado
Colinas del Sur,Querétaro,1,49,estimado
Comerciantes,Querétaro,1,49,estimado
Comevi,Querétaro,4,109,estimado
Conquistadores,Querétaro,5,129,estimado
Constelación,Querétaro,1,49,estimado
Constituyentes,Querétaro,4,109,estimado
Constituyentes de 1824,Querétaro,4,109,estimado
Constituyentes FOVISSSTE,Querétaro,4,109,estimado
Cuadrante Centro Sur I,Querétaro,1,49,estimado
Cuitláhuac (Cimatario),Querétaro,1,49,estimado
Cumbres de Juriquilla,Querétaro,6,149,estimado
Cumbres del Bosque,Querétaro,5,129,estimado
Cumbres del Lago,Querétaro,6,149,estimado
Del Valle,Querétaro,3,89,estimado
Desarrollo San Pablo,Querétaro,5,129,estimado
Diligencias,Querétaro,3,89,estimado
El Campanario,Querétaro,5,129,estimado
El Carrizal,Querétaro,1,49,estimado
El Cortijo,Querétaro,4,109,estimado
El Garambullo,Querétaro,4,109,estimado
El Jacal,Querétaro,2,69,estimado
El Mirador,El Marqués,5,129,estimado
El Oasis,Querétaro,4,109,estimado
El Prado,Querétaro,1,49,estimado
El Pueblito,Corregidora,5,129,verificado
El Refugio,Querétaro,5,129,estimado
El Retablo,Querétaro,3,89,estimado
El Rocío,Querétaro,4,109,estimado
El Salitre,Querétaro,5,129,estimado
El Tintero,Querétaro,4,109,estimado
Ensueño,Querétaro,3,89,estimado
Epigmenio González,Querétaro,4,109,estimado
España,Querétaro,3,89,estimado
Estrella,Querétaro,1,49,estimado
Ex Hacienda Santana,Querétaro,4,109,estimado
Felipe Carrillo Puerto,Querétaro,3,89,estimado
Fraternidad de Santiago,Querétaro,3,89,estimado
Fray Junípero Serra,Querétaro,5,129,estimado
Galindas,Querétaro,4,109,estimado
Hércules,Querétaro,5,129,estimado
Huertas La Joya,Querétaro,5,129,estimado
Independencia,Querétaro,3,89,estimado
Jardines de la Hacienda,Querétaro,4,109,estimado
Jardines de Querétaro,Querétaro,4,109,estimado
Jardines del Sur,Querétaro,2,69,estimado
Josefa Ortiz de Domínguez,Querétaro,3,89,estimado
Jurica,Querétaro,6,149,estimado
Jurica Acueducto,Querétaro,6,149,estimado
Juriquilla,Querétaro,6,149,estimado
Juriquilla Santa Fe,Querétaro,6,149,estimado
Karina,Querétaro,4,109,estimado
La Cañada,El Marqués,6,149,estimado
La Capilla,Querétaro,4,109,estimado
La Estancia,Querétaro,5,129,estimado
La Joya,Querétaro,4,109,estimado
La Pradera,El Marqués,5,129,estimado
La Purísima,Querétaro,5,129,estimado
La Sierrita,Querétaro,4,109,estimado
Las Campanas,Querétaro,2,69,estimado
Las Fuentes,Querétaro,1,49,estimado
Las Hadas,Querétaro,4,109,estimado
